綜合,#genre#
戲劇免費看 2台,https://4gtv.livednow.us.kg/4gtv/244
經典電影台,https://4gtv.livednow.us.kg/4gtv/201
電影免費看 2台,https://4gtv.livednow.us.kg/4gtv/245
電影原聲台 CMusic,https://4gtv.livednow.us.kg/4gtv/218
花系列 經典劇場,https://4gtv.livednow.us.kg/4gtv/279
CinemaWorld,https://4gtv.livednow.us.kg/4gtv/225
HITS 頻道,https://4gtv.livednow.us.kg/4gtv/186
Rock Action,https://4gtv.livednow.us.kg/4gtv/180
Rock Entertainment,https://4gtv.livednow.us.kg/4gtv/275
金光布袋戲,https://4gtv.livednow.us.kg/4gtv/236
霹靂布袋戲,https://4gtv.livednow.us.kg/4gtv/301
生活旅遊,#genre#
民視旅遊台,https://4gtv.livednow.us.kg/litv/litv-ftv07
ELTA 生活旅遊,https://4gtv.livednow.us.kg/4gtv/237
ELTA生活英語,https://4gtv.livednow.us.kg/litv/litv-longturn20
亞洲旅遊台,https://4gtv.livednow.us.kg/litv/litv-longturn17
Global Trekker,https://4gtv.livednow.us.kg/4gtv/252
Globetrotter 環遊旅行家,https://4gtv.livednow.us.kg/litv/4gtv-4gtv016
LUXE TV,https://4gtv.livednow.us.kg/4gtv/175
Pet Club TV,https://4gtv.livednow.us.kg/4gtv/182
TV5MONDE Style,https://4gtv.livednow.us.kg/4gtv/178
車迷 TV,https://4gtv.livednow.us.kg/4gtv/160
Love Nature,https://4gtv.livednow.us.kg/4gtv/139
Fun 探索娛樂台,https://4gtv.livednow.us.kg/4gtv/274
幸福空間居家台,https://4gtv.livednow.us.kg/4gtv/168
音樂綜藝,#genre#
民視綜藝台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv004
靖天育樂台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv062
靖天歡樂台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv054
龍華日韓台,https://4gtv.livednow.us.kg/litv/litv-longturn11
TVBS 綜藝台,https://4gtv.livednow.us.kg/4gtv/284
TVBS 歡樂台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv068
TVBS 精采台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv067
八大精彩台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv034
八大綜藝台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv039
ELTA 娛樂台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv070
Classica 古典樂,https://4gtv.livednow.us.kg/litv/4gtv-4gtv059
Lifetime 娛樂頻道,https://4gtv.livednow.us.kg/4gtv/217
MTV Live HD 音樂頻道,https://4gtv.livednow.us.kg/4gtv/213
Mezzo Live,https://4gtv.livednow.us.kg/litv/4gtv-4gtv083
豬哥亮歌廳秀,https://4gtv.livednow.us.kg/litv/4gtv-4gtv006
Trace Urban,https://4gtv.livednow.us.kg/litv/4gtv-4gtv082
少兒,#genre#
靖天映畫台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv055
靖天卡通台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv044
龍華卡通台,https://4gtv.livednow.us.kg/litv/litv-longturn01
靖洋卡通 Nice Bingo,https://4gtv.livednow.us.kg/litv/4gtv-4gtv057
DreamWorks 夢工廠動畫,https://4gtv.livednow.us.kg/4gtv/282
Nickelodeon,https://4gtv.livednow.us.kg/4gtv/185
Nick Jr. 兒童頻道,https://4gtv.livednow.us.kg/4gtv/219
i-Fun 動漫台,https://4gtv.livednow.us.kg/litv/litv-ftv15
兒童卡通台,https://4gtv.livednow.us.kg/4gtv/269
精選動漫台,https://4gtv.livednow.us.kg/4gtv/204
經典卡通台,https://4gtv.livednow.us.kg/4gtv/202
達文西頻道,https://4gtv.livednow.us.kg/litv/4gtv-4gtv018
超人力霸王整套看,https://4gtv.livednow.us.kg/4gtv/278
MOMO 親子台,https://4gtv.livednow.us.kg/4gtv/231
LiveABC 互動英語台,https://4gtv.livednow.us.kg/4gtv/188
其他,#genre#
TVBS,https://4gtv.livednow.us.kg/litv/4gtv-4gtv073
History 歷史頻道,https://4gtv.livednow.us.kg/4gtv/214
CI 罪案偵查頻道,https://4gtv.livednow.us.kg/4gtv/215
Smart 知識台,https://4gtv.livednow.us.kg/litv/litv-longturn19
視納華仁紀實頻道,https://4gtv.livednow.us.kg/litv/4gtv-4gtv013
原住民族電視台,https://4gtv.livednow.us.kg/4gtv/273
客家電視台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv043
滾動力 Rollor,https://4gtv.livednow.us.kg/4gtv/249
好消息,https://4gtv.livednow.us.kg/litv/litv-ftv16
好消息2台,https://4gtv.livednow.us.kg/litv/litv-ftv17
大愛電視,https://4gtv.livednow.us.kg/4gtv/209
大愛電視2,https://4gtv.livednow.us.kg/4gtv/230
人間衛視,https://4gtv.livednow.us.kg/4gtv/210
國會頻道1,https://4gtv.livednow.us.kg/litv/4gtv-4gtv084
國會頻道2,https://4gtv.livednow.us.kg/litv/4gtv-4gtv085
東森購物一台,https://4gtv.livednow.us.kg/4gtv/173
東森購物二台,https://4gtv.livednow.us.kg/4gtv/174
東森購物三台,https://4gtv.livednow.us.kg/4gtv/287
東森購物四台,https://4gtv.livednow.us.kg/4gtv/286
體育,#genre#
博斯運動一台,https://4gtv.livednow.us.kg/litv/litv-longturn07
博斯運動二台,https://4gtv.livednow.us.kg/litv/litv-longturn08
博斯無限台,https://4gtv.livednow.us.kg/litv/litv-longturn10
博斯無限二台,https://4gtv.livednow.us.kg/litv/litv-longturn13
博斯網球台,https://4gtv.livednow.us.kg/litv/litv-longturn09
博斯高球台,https://4gtv.livednow.us.kg/litv/litv-longturn05
博斯高球二台,https://4gtv.livednow.us.kg/litv/litv-longturn06
博斯魅力台,https://4gtv.livednow.us.kg/litv/litv-longturn04
GINX Esports TV,https://4gtv.livednow.us.kg/litv/4gtv-4gtv053
TechStorm,https://4gtv.livednow.us.kg/4gtv/181
時尚運動X,https://4gtv.livednow.us.kg/4gtv/277
智林體育台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv101
TraceSports,https://4gtv.livednow.us.kg/litv/4gtv-4gtv077
